model_id,rmse,mse,mae,rmsle,mean_residual_deviance
StackedEnsemble_BestOfFamily_1_AutoML_4_20251216_224748,0.1469290548408291,0.0215881471564193,0.0750851799259165,0.1059342590980127,0.0215881471564193
StackedEnsemble_AllModels_1_AutoML_4_20251216_224748,0.1495797146214932,0.0223740910262473,0.0803777075072393,0.1062162188787105,0.0223740910262473
GLM_1_AutoML_4_20251216_224748,0.1498473213290623,0.0224542197094952,0.0843214637935184,0.1054345486014911,0.0224542197094952
DeepLearning_1_AutoML_4_20251216_224748,0.4499186601880822,0.202426800785439,0.2758335246869824,0.2490784959159377,0.202426800785439
XRT_1_AutoML_4_20251216_224748,0.6141138663677769,0.3771358408651797,0.4294935644669192,0.3063974995297899,0.3771358408651797
DeepLearning_grid_1_AutoML_4_20251216_224748_model_1,0.6684105003966015,0.4467725970404352,0.4250844851512598,0.3253249657763968,0.4467725970404352
DRF_1_AutoML_4_20251216_224748,0.7222197704476088,0.5216013968253967,0.3641904761904762,0.3146778180271348,0.5216013968253967
GBM_5_AutoML_4_20251216_224748,0.7429607622192106,0.5519906941973504,0.3909286167392893,0.3333590552629124,0.5519906941973504
GBM_grid_1_AutoML_4_20251216_224748_model_1,0.8776540434508708,0.7702766199856631,0.4467232460884595,0.3982130789255665,0.7702766199856631
GBM_3_AutoML_4_20251216_224748,0.9412950993344597,0.8860364640310702,0.496188395675482,0.4508550681448736,0.8860364640310702
GBM_4_AutoML_4_20251216_224748,0.9517371969441089,0.9058036920470296,0.4967198215525958,0.4618252669759326,0.9058036920470296
GBM_2_AutoML_4_20251216_224748,0.9550695698184914,0.9121578831932784,0.5089554670694753,0.4669217584316326,0.9121578831932784
